touch_id,user_id,country,channel,campaign,touch_time,event_type,cost
1,1,GB,YouTube,Brand,2025-12-16 03:51:00,impression,0.3
2,1,GB,Google_Search,Retargeting,2025-12-20 16:25:00,click,1.32
3,1,GB,YouTube,Prospecting,2025-12-16 05:32:00,impression,0.3
4,1,GB,Meta,Prospecting,2025-12-18 19:52:00,impression,0.35
5,2,FR,Meta,Prospecting,2025-11-29 00:36:00,impression,0.35
6,2,FR,Meta,Prospecting,2025-11-21 13:53:00,impression,0.35
7,2,FR,Meta,Retargeting,2025-11-29 07:20:00,click,0.77
8,2,FR,Meta,Prospecting,2025-11-29 20:56:00,impression,0.35
9,3,DE,Apple_Search_Ads,Prospecting,2025-11-06 18:14:00,impression,0.75
10,3,DE,Apple_Search_Ads,Brand,2025-11-16 07:06:00,impression,0.75
11,5,US,TikTok,Prospecting,2025-10-15 05:22:00,impression,0.25
12,6,FR,Google_Search,Prospecting,2025-10-06 13:59:00,impression,0.6
13,6,FR,Google_Search,Prospecting,2025-10-08 01:30:00,impression,0.6
14,7,US,TikTok,Brand,2025-10-22 23:53:00,impression,0.25
15,8,FR,YouTube,Brand,2025-11-23 19:09:00,impression,0.3
16,8,FR,Apple_Search_Ads,Prospecting,2025-11-25 01:56:00,impression,0.75
17,8,FR,Google_Search,Brand,2025-12-04 07:31:00,impression,0.6
18,8,FR,Meta,Retargeting,2025-11-25 13:12:00,impression,0.35
19,8,FR,Meta,Brand,2025-12-02 21:03:00,impression,0.35
20,8,FR,Meta,Prospecting,2025-12-05 02:20:00,click,0.77
21,8,FR,TikTok,Brand,2025-12-05 01:38:00,click,0.55
22,8,FR,Meta,Prospecting,2025-12-06 22:43:00,click,0.77
23,9,DE,TikTok,Brand,2025-10-11 06:46:00,click,0.55
24,9,DE,YouTube,Brand,2025-10-14 00:30:00,click,0.66
25,9,DE,TikTok,Retargeting,2025-10-17 16:21:00,impression,0.25
26,9,DE,TikTok,Prospecting,2025-10-20 05:30:00,impression,0.25
27,10,MX,TikTok,Prospecting,2025-10-11 10:08:00,impression,0.25
